Id,,len,datetime,open,high,low,close,volume,openinterest,myStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
79,,79,2015-04-27 00:00:00,20063.80078125,20069.240234375,19909.859375,19983.3203125,123500.0,,myStrategy,79,735715.0,Broker,79,1488543.5971778894,953231.4296728437,BuySell,79,,20370.278837890623,Trades - Net Profit/Loss,79,,-5028.504496817675
80,,80,2015-04-28 00:00:00,20068.650390625,20133.779296875,20031.7109375,20058.94921875,138700.0,,myStrategy,80,735716.0,Broker,80,1488543.5971778894,951205.4863812577,BuySell,80,,,Trades - Net Profit/Loss,80,,
81,,81,2015-04-30 00:00:00,19847.5,19852.66015625,19502.609375,19520.009765625,189100.0,,myStrategy,81,735718.0,Broker,81,1488543.5971778894,965642.5690229178,BuySell,81,,,Trades - Net Profit/Loss,81,,
82,,82,2015-05-01 00:00:00,19510.849609375,19549.390625,19399.16015625,19531.630859375,154100.0,,myStrategy,82,735719.0,Broker,82,1488543.5971778894,965331.2637549839,BuySell,82,,,Trades - Net Profit/Loss,82,,
83,,83,2015-05-07 00:00:00,19356.4609375,19461.080078125,19257.849609375,19291.990234375,165700.0,,myStrategy,83,735725.0,Broker,83,1488543.5971778894,971750.7446212727,BuySell,83,,,Trades - Net Profit/Loss,83,,
84,,84,2015-05-08 00:00:00,19315.630859375,19458.75,19302.7109375,19379.189453125,181600.0,,myStrategy,84,735726.0,Broker,84,1488543.5971778894,969414.8563872933,BuySell,84,,,Trades - Net Profit/Loss,84,,
85,,85,2015-05-11 00:00:00,19637.580078125,19679.630859375,19586.810546875,19620.91015625,214400.0,,myStrategy,85,735729.0,Broker,85,1488543.5971778894,962939.654494055,BuySell,85,,,Trades - Net Profit/Loss,85,,
86,,86,2015-05-12 00:00:00,19608.23046875,19626.75,19467.650390625,19624.83984375,203500.0,,myStrategy,86,735730.0,Broker,86,1488543.5971778894,962834.3862253015,BuySell,86,,,Trades - Net Profit/Loss,86,,
87,,87,2015-05-13 00:00:00,19568.759765625,19791.880859375,19494.69921875,19764.720703125,193600.0,,myStrategy,87,735731.0,Broker,87,1488543.5971778894,959087.2648834263,BuySell,87,,,Trades - Net Profit/Loss,87,,
88,,88,2015-05-14 00:00:00,19661.51953125,19717.80078125,19546.8203125,19570.240234375,171700.0,,myStrategy,88,735732.0,Broker,88,1488543.5971778894,964296.99778246,BuySell,88,,,Trades - Net Profit/Loss,88,,
89,,89,2015-05-15 00:00:00,19693.169921875,19750.759765625,19633.75,19732.919921875,178400.0,,myStrategy,89,735733.0,Broker,89,1488543.5971778894,959939.1425930901,BuySell,89,,,Trades - Net Profit/Loss,89,,
90,,90,2015-05-18 00:00:00,19766.16015625,19890.26953125,19741.220703125,19890.26953125,206800.0,,myStrategy,90,735736.0,Broker,90,1488543.5971778894,955724.069265265,BuySell,90,,,Trades - Net Profit/Loss,90,,
91,,91,2015-05-19 00:00:00,19977.140625,20087.69921875,19946.75,20026.380859375,184100.0,,myStrategy,91,735737.0,Broker,91,1488543.5971778894,952077.9259346691,BuySell,91,,,Trades - Net Profit/Loss,91,,
92,,92,2015-05-20 00:00:00,20175.58984375,20278.890625,20148.509765625,20196.560546875,176400.0,,myStrategy,92,735738.0,Broker,92,415075.78902020544,956100.2250710926,BuySell,92,19846.282119140626,,Trades - Net Profit/Loss,92,,-706.2644613069004
93,,93,2015-05-21 00:00:00,20215.4609375,20320.900390625,20175.779296875,20202.869140625,181800.0,,myStrategy,93,735739.0,Broker,93,415075.78902020544,956269.2193593995,BuySell,93,,,Trades - Net Profit/Loss,93,,
94,,94,2015-05-22 00:00:00,20208.849609375,20278.310546875,20130.83984375,20264.41015625,141500.0,,myStrategy,94,735740.0,Broker,94,415075.78902020544,957917.7769539086,BuySell,94,,,Trades - Net Profit/Loss,94,,
95,,95,2015-05-25 00:00:00,20331.919921875,20417.76953125,20318.5390625,20413.76953125,139800.0,,myStrategy,95,735743.0,Broker,95,415075.78902020544,961918.8082899493,BuySell,95,,,Trades - Net Profit/Loss,95,,
96,,96,2015-05-26 00:00:00,20431.26953125,20473.849609375,20378.76953125,20437.48046875,130800.0,,myStrategy,96,735744.0,Broker,96,415075.78902020544,962553.9756769605,BuySell,96,,,Trades - Net Profit/Loss,96,,
97,,97,2015-05-27 00:00:00,20380.640625,20513.220703125,20363.2109375,20472.580078125,184700.0,,myStrategy,97,735745.0,Broker,97,415075.78902020544,963494.2222265471,BuySell,97,,,Trades - Net Profit/Loss,97,,
98,,98,2015-05-28 00:00:00,20590.279296875,20655.330078125,20473.26953125,20551.4609375,241500.0,,myStrategy,98,735746.0,Broker,98,415075.78902020544,965607.2786729415,BuySell,98,,,Trades - Net Profit/Loss,98,,
99,,99,2015-05-29 00:00:00,20510.26953125,20636.41015625,20508.400390625,20563.150390625,241100.0,,myStrategy,99,735747.0,Broker,99,415075.78902020544,965920.4151483339,BuySell,99,,,Trades - Net Profit/Loss,99,,
100,,100,2015-06-01 00:00:00,20444.5390625,20595.41015625,20410.26953125,20569.869140625,173400.0,,myStrategy,100,735750.0,Broker,100,415075.78902020544,966100.3966813914,BuySell,100,,,Trades - Net Profit/Loss,100,,
101,,101,2015-06-02 00:00:00,20604.669921875,20619.609375,20470.259765625,20543.189453125,200400.0,,myStrategy,101,735751.0,Broker,101,415075.78902020544,965385.702570471,BuySell,101,,,Trades - Net Profit/Loss,101,,
102,,102,2015-06-03 00:00:00,20443.150390625,20506.349609375,20397.73046875,20473.509765625,163600.0,,myStrategy,102,735752.0,Broker,102,415075.78902020544,963519.1266479818,BuySell,102,,,Trades - Net Profit/Loss,102,,
103,,103,2015-06-04 00:00:00,20539.939453125,20552.4609375,20438.2109375,20488.189453125,171700.0,,myStrategy,103,735753.0,Broker,103,415075.78902020544,963912.3653696275,BuySell,103,,,Trades - Net Profit/Loss,103,,
104,,104,2015-06-05 00:00:00,20398.759765625,20480.25,20363.1796875,20460.900390625,165800.0,,myStrategy,104,735754.0,Broker,104,415075.78902020544,963181.3473522204,BuySell,104,,,Trades - Net Profit/Loss,104,,
105,,105,2015-06-08 00:00:00,20537.849609375,20544.939453125,20359.060546875,20457.189453125,139800.0,,myStrategy,105,735757.0,Broker,105,415075.78902020544,963081.938947334,BuySell,105,,,Trades - Net Profit/Loss,105,,
106,,106,2015-06-09 00:00:00,20293.05078125,20332.419921875,20095.48046875,20096.30078125,160700.0,,myStrategy,106,735758.0,Broker,106,1510540.082724535,972201.4001726144,BuySell,106,,20637.406220703124,Trades - Net Profit/Loss,106,10998.242773322887,
107,,107,2015-06-10 00:00:00,20126.359375,20264.919921875,20016.3203125,20046.359375,183200.0,,myStrategy,107,735759.0,Broker,107,1510540.082724535,973539.2280215337,BuySell,107,,,Trades - Net Profit/Loss,107,,
108,,108,2015-06-11 00:00:00,20183.609375,20382.970703125,20178.0390625,20382.970703125,150400.0,,myStrategy,108,735760.0,Broker,108,1510540.082724535,964522.1008951355,BuySell,108,,,Trades - Net Profit/Loss,108,,
109,,109,2015-06-12 00:00:00,20431.779296875,20437.259765625,20331.189453125,20407.080078125,189900.0,,myStrategy,109,735761.0,Broker,109,1510540.082724535,963876.2601846522,BuySell,109,,,Trades - Net Profit/Loss,109,,
110,,110,2015-06-15 00:00:00,20205.099609375,20401.48046875,20205.099609375,20387.7890625,115700.0,,myStrategy,110,735764.0,Broker,110,1510540.082724535,964393.0269294225,BuySell,110,,,Trades - Net Profit/Loss,110,,
111,,111,2015-06-16 00:00:00,20332.830078125,20368.2109375,20234.16015625,20257.939453125,133000.0,,myStrategy,111,735765.0,Broker,111,1510540.082724535,967871.4316568258,BuySell,111,,,Trades - Net Profit/Loss,111,,
112,,112,2015-06-17 00:00:00,20306.099609375,20323.080078125,20126.5703125,20219.26953125,124200.0,,myStrategy,112,735766.0,Broker,112,1510540.082724535,968907.3195559558,BuySell,112,,,Trades - Net Profit/Loss,112,,
113,,113,2015-06-18 00:00:00,20193.58984375,20200.509765625,19990.55078125,19990.8203125,134500.0,,myStrategy,113,735767.0,Broker,113,1510540.082724535,975027.0056011922,BuySell,113,,,Trades - Net Profit/Loss,113,,
114,,114,2015-06-19 00:00:00,20152.41015625,20194.44921875,20075.91015625,20174.240234375,160900.0,,myStrategy,114,735768.0,Broker,114,1510540.082724535,970113.5620689333,BuySell,114,,,Trades - Net Profit/Loss,114,,
